,Model,RAM,Screen,Operating System,Storage,Type Storage,Speed,Price
130,Apple M1 Pro chip,16GB  ,16.2 Inches,Mac OS,512GB SSD,SSD,NA,"529,999 - PKR"
131,Apple M1 Pro chip,16GB  ,?14.2 Inches,Mac OS,512GB SSD,SSD,NA,"424,999 - PKR"
132,AMD Ryzen 5-5500U,8GB ,15.6 Inch,Windows 11,256GB SSD,SSD,NA,"134,999 - PKR"
133,Intel Core i7,8GB ,15.6INCHES,DOS,512GB SSD,SSD,NA,"224,999 - PKR"
134,Intel Core i5,8GB ,15.6INCHES,DOS,512GB SSD,SSD,NA,"193,000 - PKR"
135,Core i5 11th Generation ,4GB ,15.6INCHES,DOS,256GB SSD,SSD,NA,"141,999 - PKR"
136,AMD Ryzen 7  5800H,8GB ,15.6INCHES,Windows 10 Home,512GB SSD,SSD,NA,"248,000 - PKR"
137,i7 11th Generation,16GB  ,13.3 Inch,Windows 10 Home,512GB SSD,SSD,NA,"249,999 - PKR"
138,i7 11th Generation i7-1165G7,16GB  ,13.3 Inch,Windows 10 Home,512GB SSD,SSD,NA,"324,999 - PKR"
139,Core i3 11th Generation,4GB,15.6INCHES,DOS,256GB,SSD,NA,"88,999 - PKR"
140,Intel Core i5 11th Generation,8GB RAM,15.6,Dos,1TB HDD, HDD,NA,"138,999 - PKR"
141,M1 Pro Chip ,16GB ,16 inches ,macOS Monterey,1TB SSD,SSD,NA,"569,999 - PKR"
142,M1 Pro Chip ,16GB ,16 inches ,macOS Monterey,1TB SSD,SSD,NA,"569,999 - PKR"
143,M1 Pro Chip ,16GB  ,16 inches,macOS Monterey,512GB SSD,SSD,NA,"529,999 - PKR"
144,Core i5 11th Generation,8GB,15.6inches,Genuine Windows 10 Home,256GB SSD,SSD,NA,"128,999 - PKR"
145,Core i5 11th Generation ,8GB ,15.6 inch FHD,DOS,256GB,NA,NA,"117,499 - PKR"
146,Core i7 11th Generation,4 GB,15.6,Win10,512GB SSD,SSD,NA,"217,999 - PKR"
147,M1 Chip ,16GB ,13.3,macOS,256GB SSD,SSD,NA,"361,999 - PKR"
148,M1 Chip,16GB,13.3 Inches,macOS,512GB SSD,SSD,NA,"419,999 - PKR"
149,M1 Chip ,8GB ,13.3,512GB SSD,SSD,NA,NA,"272,999 - PKR"
150,M1 Chip ,8GB ,13.3,256GB SSD,SSD,NA,NA,"239,999 - PKR"
151,M1 Chip ,8GB ,13.3,512GB SSD,SSD,NA,NA,"272,999 - PKR"
152,M1 Chip ,8GB ,13.3,macOS,512GB SSD,SSD,NA,"272,999 - PKR"
153,M1 Chip ,8GB ,13.3,macOS,256GB SSD,SSD,NA,"239,999 - PKR"
154,M1 Chip ,8GB ,13.3,macOS,256GB SSD,SSD,NA,"239,999 - PKR"
155,M1 Chip,8GB,13.3 Inches,macOS,512GB SSD,SSD,NA,"307,999 - PKR"
156,M1 Chip,8GB,13.3 Inches,macOS,256GB SSD,SSD,NA,"258,999 - PKR"
157,Core i5 12th Generation i5 -1240P,8GB  ,14 INCHES,DOS,256GB ,SSD,up to 4.4 GHz,Coming Soon
158,Core i5 12th Generation i5 -1240P,8GB  ,14 INCHES,DOS,256GB ,SSD,up to 4.4 GHz,Coming Soon
159,Core i5 12th Generation i5 -1240P,8GB  ,14 INCHES,DOS,256GB ,SSD,up to 4.4 GHz,Coming Soon
160,Core i7 12th Generation i7-1255U,16GB,14 INCHES,Windows 11,512GB ,SSD,up to 4.7 GHz,Coming Soon
161,Apple M1 Max chip,64GB  ,14.2 Inches,Mac OS,2TB SSD,SSD,10 Core CPU 24 Core GPU ,Coming Soon
162,Apple M1 Max chip,32GB  ,14.2 Inches,Mac OS,4TB SSD,SSD,10 Core CPU 24 Core GPU ,Coming Soon
163,Apple M1 Pro chip,32GB  ,14.2 Inches,Mac OS,2TB SSD,SSD,10 Core CPU 16 Core GPU,Coming Soon
164,Apple M1 Max chip,64GB  ,16.2 Inches,Mac OS,2TB SSD,SSD,NA,Coming Soon
165,Apple M1 Max chip,32GB  ,16.2 Inches,Mac OS,2TB SSD,SSD,NA,Coming Soon
166,Apple M1 Max chip,32GB  ,16.2 Inches,Mac OS,1TB SSD,SSD,NA,Coming Soon
167,Apple M1 Pro chip,32GB  ,16.2 Inches,Mac OS,1TB SSD,SSD,NA,Coming Soon
168,Apple M1 Pro chip,32GB  ,14.2 Inches,Mac OS,1TB SSD,SSD,NA,Coming Soon
169,Apple M1 Pro chip,32GB  ,14.2 Inches,Mac OS,1TB SSD,SSD,NA,Coming Soon
170,M1 Chip ,16GB ,13.3,macOS,1TB SSD,SSD,NA,Coming Soon
